ROB	Channel	flag_fit_method	flag_chi2	Chi2NDF	ped_mean	ped_sigma	Sigma	Min_x	Max_x	N0	Q_{0}	Q_{1}	#sigma_{0}	#sigma_{1}	w	#alpha	#mu
15	58	2	0	0.98776	251.6	4.4078	-5	273.64	665	8988.3	198.73	67.728	-39.932	26.745	0.68775	0.0081425	0.47228
15	58	1	1	15.409	251.6	4.4078	-4	269.23	665	12580	251.6	12	4.4078	12.369	0.1	0.2	0.5
15	58	2	0	1.0577	251.6	4.4078	-3	264.82	665	12328	254.66	64.775	5.1234	30.78	0.23014	0.0070788	0.35921
15	58	2	0	1.0533	251.6	4.4078	-2	260.42	665	12482	254.36	65.468	5.182	30.733	0.22842	0.0070908	0.35231
15	58	2	0	1.0621	251.6	4.4078	-1	256.01	665	11383	255.02	61.027	5.0988	30.573	0.25512	0.0071719	0.39724
15	58	2	0	1.0674	251.6	4.4078	0	251.6	665	11931	254.46	63.842	5.3408	30.896	0.23532	0.0070631	0.37955
15	58	2	0	1.0909	251.6	4.4078	1	247.19	665	12600	253.72	67.042	5.7265	31.325	0.21348	0.0069205	0.36114
15	58	2	0	1.0971	251.6	4.4078	2	242.78	665	12719	253.57	67.686	5.8437	31.477	0.20821	0.0068722	0.35978
15	58	2	0	1.0971	251.6	4.4078	3	238.38	665	12682	253.62	67.39	5.7698	31.337	0.21175	0.006914	0.35827
